0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,True,0.268100768327713,0.40246689319610596,0.13066187500953674,0.19614669680595398
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,True,0.34150540828704834,0.15154211223125458,0.146879643201828,0.35789456963539124
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,False,0.0947239026427269,0.48104768991470337,0.3865326941013336,0.03595313802361488
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,True,0.3322020173072815,0.2977839708328247,0.18345937132835388,0.14512832462787628
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,0.17939810454845428,0.3248479962348938,0.16852892935276031,0.31981173157691956
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,True,0.271395206451416,0.23950542509555817,0.15954501926898956,0.32736513018608093
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,False,0.41939663887023926,0.24272815883159637,0.10439608246088028,0.2280219942331314
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,True,0.17697466909885406,0.25350451469421387,0.3926354646682739,0.16887041926383972
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,True,0.323798805475235,0.233223557472229,0.16281627118587494,0.2769598066806793
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,True,0.11290000379085541,0.09656849503517151,0.04025573655962944,0.747793972492218
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,True,0.4071531891822815,0.22839222848415375,0.09977718442678452,0.26287785172462463
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,False,0.0038517541252076626,0.07267726957798004,0.008154163137078285,0.913495659828186
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.16429881751537323,0.5916627645492554,0.12020359188318253,0.10774979740381241
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,False,0.1121533215045929,0.7313315272331238,0.09011772274971008,0.06490936130285263
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,False,0.24291390180587769,0.2667887210845947,0.29301008582115173,0.1951868087053299
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,False,0.4354609251022339,0.34447798132896423,0.14359977841377258,0.06273409724235535
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.2657901644706726,0.17160700261592865,0.13575232028961182,0.42473143339157104
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.27060022950172424,0.358487069606781,0.1802586168050766,0.1889094114303589
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,True,0.13943417370319366,0.6152124404907227,0.1309862732887268,0.11030151695013046
