verb,noun,instruction
write,function,Write a function to print out the last 3 elements of a Python list.
identify,sense,Identify the five senses and give an example for each one.
tell,adjective,Tell me an adjective to describe a river
write,joke,Write a joke involving a book.
explain,term,"Explain the term ""digital transformation"""
analyze,sentence,Analyze this sentence and list the grammatical components.
determine,age,Determine the age of a person given his date of birth.
generate,recipe,Generate a recipe for vegan fried rice.
define,term,"Define the term ""data literacy"" and explain why it is important."
develop,plan,Develop a plan for improving an e-commerce website.
analyze,implication,"Analyze the implications of the following statement: ""Competition is essential for success in life."""
identify,verb,"In the sentence, ""Please carefully read the instructions before starting the task,"" identify the main verb and its type."
summarize,state,Summarize the current state of the European Union
list,continent,"List the continents in order of size, beginning with the largest."
generate,metaphor,Generate a metaphor that compares ambition to an animal.
create,plan,Create a growth plan for a company that sells consumer electronics.
create,design,Create a design for a promotional flyer
develop,description,Develop a brief description for a website for the following company.
provide,input,"Provide two inputs to the instruction ""Generate a recipe for a healthy dinner""."
create,title,Create a compelling title for a research paper.
reduce,text,Reduce the following text to 100 words.
give,solution,Give a solution to an ethical issue.
create,request,Create a JSON request with the following fields.
classify,sentence,Classify the given sentence as an imperative sentence or an interrogative sentence.
describe,system,Describe a home automation system.
construct,question,Construct a What-If question related to history.
extract,point,Extract a key point from the following article.
provide,example,Provide an example of a common application of AI.
design,course,Design an online course on HTML.
transform,sentence,Transform the sentence into a question related to the topic.
write,story,Write a story about an astronaut who goes on a mission to the moon.
put,list,Put that list of books in alphabetical order by author.
create,story,Create a story about an unusual friendship
generate,variation,Generate a new variation of the following line of poetry.
describe,experience,Describe an experience of failure.
analyze,effect,Analyze the effects of Bretton Woods System.
compose,song,Compose a song in the rock genre
summarize,finding,"In 1 sentence, summarize the findings from the research article."
categorize,action,Categorize the following action as safe or unsafe.
describe,implication,"Describe the implications of the following statement: ""Next month winter will be over."""
construct,list,Construct a list of at least four measures that can be taken to reduce pollution in urban areas.
generate,list,Generate a list of descriptive words to describe snowfall.
compare,benefit,Compare the nutritional benefits of grass-fed beef and grain-fed beef.
reconstruct,sentence,"Reconstruct the following sentence by replacing the word ""an"" with the appropriate pronoun."
create,question,Create a survey question to ask people about their interest in attending virtual events.
identify,bug,Identify the bug in the following code.
generate,recipe,Generate a new recipe using the following ingredients
determine,structure,Determine the structure of a DNA molecule.
create,question,Create five questions that could be used in a survey about social media usage.
suggest,strategy,Suggest 3 strategies for reducing the negative effects of global warming.
write,statement,Write a closing statement for this conversation.
write,sentence,Write three sentences to describe a serene beach
write,report,Write a report on the current economic situation in India.
generate,way,Generate three different ways to greet the user.
identify,item,Identify four items related to the following category: camping gear
take,input,Take the given input and turn it into proper prose.
edit,sentence,Edit this sentence so that it follows proper grammar rules.
explain,mean,"Explain what the idiom ""get your feet wet"" means."
change,sentence,Change the sentence so that is positive without changing its meaning.
list,step,List the basic steps to tackle a problem effectively.
create,dialogue,Create a dialogue between two people who just met at a party.
explain,impact,Explain the impact of globalisation on the cost of living.
describe,characteristic,Describe 3 characteristics of a helpful customer service representative.
generate,number,Generate an unlimited number of ideas for creating an algorithm that detects plagiarism.
generate,code,Generate a 10-character PIN code.
create,synonym,Create three synonyms of the word “innovate”
generate,idea,Generate 4 ideas for a mobile application.
subtract,number,Arithmetics: subtract the following numbers.
compose,letter,Compose a letter to your best friend who has just moved abroad.
formulate,question,Formulate an appropriate multiple-choice question based on the given fact.
make,list,Make a list of five musical genres from the 1990s.
find,area,"Find the area of a triangle with side lengths of 5, 10, and 12."
