0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
 What can murtis be translated as?,Offerings,Prayers,Apparitions,Idols,D,False,0.018678931519389153,0.0104873888194561,0.921270489692688,0.04757384955883026
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,B,False,0.8562123775482178,0.07435847818851471,0.018381580710411072,0.04785037785768509
 When was the first Buddhist temple constructed in Japan?,325 CE,119 CE,451 CE,596 CE,D,False,0.26839616894721985,0.40255242586135864,0.2086009830236435,0.08874297142028809
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,Akitu,Wag and Thoth,Bast,Nehebkau,A,True,0.8979077339172363,0.056251153349876404,0.017295924946665764,0.015820525586605072
Which of the following terms denote the Japanese art of flower arranging?,Zazen,Tariki,Kami,Ikebana,D,True,0.00014593727246392518,0.00011889330198755488,0.0031163448002189398,0.9938570857048035
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,Harmony and balance,Devotion and piety,Love and passion,Goodwill and love,A,True,0.9025084972381592,0.03853187337517738,0.022081544622778893,0.031244024634361267
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",Shabad,Khalse,Nam,Guru,A,True,0.9781814217567444,0.008953460492193699,0.0054331691935658455,0.004553023725748062
What is the mi'raj?,Muhammad's miraculous ascent to heaven,Muhammad's migration to Mecca,Muhammad's first community in Mecca,Muhammad's revelations of the Qur'an,A,True,0.9809989333152771,0.002573039848357439,0.0027710034046322107,0.012224841862916946
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",Laws of Dharma,Laws of Karma,Laws of Vishnu,Laws of Manu,D,False,0.11832156032323837,0.039680179208517075,0.5269562005996704,0.30443722009658813
"What does the term ""Qur'an"" literally mean?",The Holy Book,The Narrative,The Recitation,The Pillars,C,True,0.03556825593113899,0.039932530373334885,0.8606245517730713,0.06054115295410156
 Mani referred to God by which of the following names?,Mother of Light,Father of Goodness,Ineffable Lover,Eternal Spirit,B,False,0.4282298684120178,0.17938894033432007,0.1972939819097519,0.18110927939414978
" Which tradition is known to promote ""gradual enlightenment""?",Bushido,Shinto,Nichiren,Soto Zen,D,False,0.002796325134113431,0.005971088539808989,0.8356195092201233,0.15242771804332733
What is the communal meal offered at the place of worship called in Sikhism?,Sangat,Langar,Gurdwara,Panth,B,True,0.0008179659489542246,0.9887384176254272,0.007421053014695644,0.0016806924249976873
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,True,0.062188755720853806,0.7494221329689026,0.05063235014677048,0.13524332642555237
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,True,0.0015607960522174835,0.9801172614097595,0.011359446682035923,0.0054271165281534195
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,True,0.000300564308417961,0.0004307586350478232,0.24799399077892303,0.7497280240058899
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,True,0.4750722348690033,0.02379930391907692,0.4812639653682709,0.017195437103509903
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.000755698885768652,0.0038053852040320635,0.9829753041267395,0.01084859948605299
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,False,0.7037484049797058,0.11665020138025284,0.10158511251211166,0.0743873342871666
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.9918336868286133,0.0016744330059736967,0.0029610921628773212,0.0018494802061468363
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,True,0.9607055187225342,0.019680820405483246,0.004795236047357321,0.012796226888895035
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.8098899126052856,0.07720755785703659,0.05543778836727142,0.053825799375772476
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.9050025343894958,0.035110171884298325,0.01702084019780159,0.040225233882665634
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,True,0.7266310453414917,0.13715921342372894,0.08166830241680145,0.04328915849328041
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.9644526839256287,0.006136101670563221,0.011345566250383854,0.016187425702810287
