0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
 What can murtis be translated as?,Offerings,Prayers,Apparitions,Idols,D,False,0.08904905617237091,0.38081449270248413,0.4383147954940796,0.08904905617237091
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,B,False,0.7971226572990417,0.11305603384971619,0.032901182770729065,0.053403887897729874
 When was the first Buddhist temple constructed in Japan?,325 CE,119 CE,451 CE,596 CE,D,False,0.4061432182788849,0.38754457235336304,0.09497188776731491,0.07631205022335052
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,Akitu,Wag and Thoth,Bast,Nehebkau,A,True,0.9652709364891052,0.0213256124407053,0.00337420217692852,0.0035918194334954023
Which of the following terms denote the Japanese art of flower arranging?,Zazen,Tariki,Kami,Ikebana,D,True,0.00011749676923500374,6.191644206410274e-05,0.0003453421813901514,0.9977777600288391
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,Harmony and balance,Devotion and piety,Love and passion,Goodwill and love,A,True,0.9682943224906921,0.015169489197432995,0.004484092816710472,0.009492823854088783
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",Shabad,Khalse,Nam,Guru,A,True,0.9916471242904663,0.004450949374586344,0.0006513177650049329,0.0007265974418260157
What is the mi'raj?,Muhammad's miraculous ascent to heaven,Muhammad's migration to Mecca,Muhammad's first community in Mecca,Muhammad's revelations of the Qur'an,A,True,0.9929448962211609,0.0016395555576309562,0.0011809275019913912,0.0033119930885732174
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",Laws of Dharma,Laws of Karma,Laws of Vishnu,Laws of Manu,D,False,0.8222701549530029,0.04938116297125816,0.0644051805138588,0.05423459783196449
"What does the term ""Qur'an"" literally mean?",The Holy Book,The Narrative,The Recitation,The Pillars,C,True,0.018550679087638855,0.015140623785555363,0.951468288898468,0.012552017346024513
 Mani referred to God by which of the following names?,Mother of Light,Father of Goodness,Ineffable Lover,Eternal Spirit,B,False,0.7099671959877014,0.13763341307640076,0.057374149560928345,0.08612879365682602
" Which tradition is known to promote ""gradual enlightenment""?",Bushido,Shinto,Nichiren,Soto Zen,D,False,0.04118325933814049,0.40948766469955444,0.25625085830688477,0.29037022590637207
What is the communal meal offered at the place of worship called in Sikhism?,Sangat,Langar,Gurdwara,Panth,B,True,0.00029970917967148125,0.9966825842857361,0.0016457273159176111,0.00036151829408481717
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,True,0.019083496183156967,0.9052388668060303,0.015096287243068218,0.05878130719065666
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,True,0.001088587217964232,0.9896790981292725,0.0057037896476686,0.002233636099845171
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,True,0.0002296234160894528,0.00028134050080552697,0.0021448303014039993,0.9959384202957153
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,False,0.9647707939147949,0.00620289146900177,0.02531166933476925,0.00258574984036386
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.0008912616758607328,0.0020084891002625227,0.9927787184715271,0.002702717436477542
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,False,0.6434406042098999,0.21891964972019196,0.0647125244140625,0.07107280194759369
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.9954761862754822,0.0011839380022138357,0.0014059612294659019,0.0006046963389962912
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,Brahminic orthodoxy,Legalistic asceticism,Bhakti devotionals,Unorthodox practices,A,True,0.9594998955726624,0.025173380970954895,0.005276627838611603,0.00830129999667406
 Which early battle led to the conversion of Mecca?,The Battle of Uhud,The Battle of Camel,The Battle of the Trench,The Battle of Badr,C,False,0.9830021262168884,0.009637014009058475,0.0032279950100928545,0.002116971183568239
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,Remembering the Divine Name,Meditating on the sacred hymns,Remembering that death is inevitable,Meditating on the goodness of the created world,A,True,0.9453746676445007,0.03552836552262306,0.006780705880373716,0.010502164252102375
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",Confucianism,Buddhism,Christianity,Daoism,A,True,0.7663715481758118,0.13740286231040955,0.06193232163786888,0.030183399096131325
"What is the meaning of the Punjabi word ""Sikh""?",Disciple,Faithful,Devotee,Enlightened,A,True,0.8974947333335876,0.016438189893960953,0.01982824131846428,0.0650143027305603
 Which of the following shuns politics?,The sages of the Zhuangzi,The Songs of the South,The Duke of Zhou,"The Confucian ""sage kings""",A,True,0.4965262711048126,0.2309061735868454,0.1611984819173813,0.10738134384155273
What does the Hebrew word mashiach mean?,Anointed one,God,Prophet,The line of David,A,True,0.9971129894256592,0.0011315791634842753,0.0007537942146882415,0.0003191765572410077
"According to Jaina traditions, what does the term ajiva mean?",Soul,Sound,Non-matter,Non-soul,D,False,0.002409891225397587,0.0042294906452298164,0.9571465849876404,0.034323547035455704
" In the Japanese Zen tradition, what is zazen?",A collection of statues,Veneration of ancestors,Seated meditation,Funeral rituals,C,True,0.00013537034101318568,0.00012917128333356231,0.9987545013427734,0.00019696269009727985
 What is a central component of tantric Buddhism?,Asceticism,Bodily pleasure,Music,Sexual union,D,True,0.002179713686928153,0.03744763880968094,0.02236100472509861,0.9360731244087219
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",Loving and forgiving,Wrathful and merciful,Judging and vengeful,Transcendent and immanent,B,True,0.16184306144714355,0.7030141949653625,0.040920332074165344,0.09078572690486908
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",Palestine and Babylonia,Babylonia and Europe,Palestine and Spain,Spain and France,A,True,0.5908439755439758,0.10760067403316498,0.24248187243938446,0.056701574474573135
" In addition to Jainism, which other tradition began as a world-renouncing movement?",Buddhism,Hinduism,Judaism,Islam,A,False,0.14179539680480957,0.8288259506225586,0.017201732844114304,0.009499700739979744
"According to Hindu tradition, which age are we in currently?",Kali yuga,Maha yuga,Krita yuga,Satya yuga,A,False,0.2698580324649811,0.48864978551864624,0.06212484464049339,0.1769772320985794
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",Hymns,Laws,Ethics,Myths,A,True,0.9983030557632446,0.0005186930065974593,0.00017374039452988654,5.38222593604587e-05
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,Pure Land,Tendai,Shingon,Soto Zen,A,True,0.9928650856018066,0.003525315085425973,0.0021050618961453438,0.0006521177128888667
" According to Hindu tradition, who is considered to be the ideal wife?",Sita,Rama,Kali,Durga,A,True,0.9127715826034546,0.049136918038129807,0.021133525297045708,0.014077963307499886
Who is the woman mystic who exemplified the all-consuming love of the divine?,Rumi,Rabi'a,Fatimah,Khadija,B,True,0.012871179729700089,0.9309826493263245,0.03391104191541672,0.020249206572771072
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,Andal,Devi,Ganga,Kali,A,True,0.9929157495498657,0.0020403999369591475,0.0018006465397775173,0.0011808928102254868
 Who is associated with the stigmata and preaching to birds?,Paul of Tarsus,Clare of Assisi,Francis of Assisi,John of the Cross,C,True,0.0032318735029548407,0.012983600609004498,0.9689248204231262,0.013188062235713005
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",Epistemology,Morality,Religion,Aesthetics,B,True,0.005255847703665495,0.9707716703414917,0.014740388840436935,0.007072515785694122
 Which Christian denomination promotes a stripped-down Christianity?,Greek Orthodox,Roman Catholic,Puritans,Quakers,D,False,0.0006357519305311143,0.0014326891396194696,0.9831908345222473,0.013592977076768875
 Rome claimed that their bishop (pope) was the director successor of which leader?,Peter,Paul,Jesus,Matthew,A,True,0.9533339142799377,0.025405487045645714,0.01277468167245388,0.004414812196046114
When was the current Dalai Lama born?,1935,2000,1965,1975,A,True,0.6136518716812134,0.03685265779495239,0.07801707088947296,0.011596203781664371
