0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B,True,0.08520010858774185,0.5822371244430542,0.21087230741977692,0.09960902482271194
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C,False,0.3095504939556122,0.34532853960990906,0.2336609810590744,0.08462639898061752
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,0,1,"0,1","0,4",D,False,0.12664750218391418,0.24033471941947937,0.5009005665779114,0.11531386524438858
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.","True, True","False, False","True, False","False, True",B,True,0.26433736085891724,0.3238728940486908,0.2602391839027405,0.1506149023771286
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",2x^2 + 5,6x^2 + 4x + 6,0,x^2 + 1,B,True,0.29870906472206116,0.32806774973869324,0.1675606071949005,0.19589819014072418
"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","True, True","False, False","True, False","False, True",A,False,0.26432907581329346,0.30903196334838867,0.28580784797668457,0.13929162919521332
Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,"True, True","False, False","True, False","False, True",A,False,0.3019472360610962,0.3264828026294708,0.227921724319458,0.14262977242469788
Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,"True, True","False, False","True, False","False, True",D,False,0.2765873968601227,0.308555543422699,0.26807770133018494,0.14575132727622986
Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,0,4,2,6,B,True,0.06768453121185303,0.6729914546012878,0.16752082109451294,0.07790441066026688
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,1,2,"2,3",6,C,True,0.20087723433971405,0.24230417609214783,0.43875619769096375,0.10100741684436798
"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.","True, True","False, False","True, False","False, True",C,False,0.2572653889656067,0.3252139091491699,0.28700026869773865,0.12936115264892578
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",symmetric only,anti-symmetric only,both symmetric and anti-symmetric,an equivalence relation,C,True,0.1436019241809845,0.14816033840179443,0.4782674312591553,0.2189667969942093
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",1,2,5,11,A,False,0.18804116547107697,0.3004889488220215,0.37985360622406006,0.09455304592847824
The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,(x − 2)(x + 2)(x − 1),(x + 1)(x + 4)(x − 2),(x + 1)(x − 4)(x − 2),(x - 1)(x − 4)(x − 2),C,False,0.5128617286682129,0.16392046213150024,0.16392046213150024,0.151601642370224
Find the maximum possible order for an element of S_n for n = 10.,6,12,30,105,C,False,0.19421061873435974,0.3685469627380371,0.33036336302757263,0.09919307380914688
Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,"True, True","False, False","True, False","False, True",B,False,0.29743680357933044,0.28828561305999756,0.2584175765514374,0.15430817008018494
"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",1,-1,i,-i,C,False,0.23600447177886963,0.3655308783054352,0.22874337434768677,0.13447129726409912
"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9","(1,1)","(3,1)","(1,6)","(3,6)",C,False,0.20803391933441162,0.3272832930088043,0.23207859694957733,0.22145096957683563
The set of all real numbers under the usual multiplication operation is not a group since,multiplication is not a binary operation,multiplication is not associative,identity element does not exist,zero has no inverse,D,False,0.10023075342178345,0.10669508576393127,0.4562770128250122,0.31853267550468445
Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,"True, True","False, False","True, False","False, True",A,False,0.24950511753559113,0.3105141222476959,0.2962946593761444,0.1421637237071991
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.","True, True","False, False","True, False","False, True",A,False,0.2863577604293823,0.32959574460983276,0.2819181978702545,0.100521020591259
