0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.1761135756969452,0.15294650197029114,0.47376033663749695,0.1531575620174408
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.7026008367538452,0.12061905115842819,0.03847356513142586,0.07307268679141998
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.31672781705856323,0.4726572334766388,0.10374686121940613,0.07930733263492584
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.504470944404602,0.2560570240020752,0.15120035409927368,0.08148420602083206
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,False,0.331802099943161,0.5275148749351501,0.09928682446479797,0.03883599862456322
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.24191242456436157,0.2958172857761383,0.391907662153244,0.06852864474058151
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.9874761700630188,0.0031240819953382015,0.0009613818838261068,0.005987226497381926
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.8055599927902222,0.1368991732597351,0.036396365612745285,0.0020382339134812355
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.025687219575047493,0.959865927696228,0.005885683931410313,0.006126297637820244
A wave transfers,amplitude,wavelength,frequency,energy,D,True,0.05685745179653168,0.013184292241930962,0.08865998685359955,0.7260941863059998
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.12380319833755493,0.8032985329627991,0.026861941441893578,0.006664439104497433
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.00035098977969028056,0.0008460230310447514,0.9896554946899414,0.007195750251412392
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.27270641922950745,0.6388601660728455,0.04518674314022064,0.03831256926059723
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.5098939538002014,0.29676857590675354,0.1506338268518448,0.034602757543325424
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.22083429992198944,0.21006904542446136,0.3364124000072479,0.22324444353580475
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.3114013969898224,0.2649966776371002,0.3624334931373596,0.04938027262687683
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.08229679614305496,0.14983110129833221,0.4980276823043823,0.26310673356056213
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.299492210149765,0.15426097810268402,0.10124210268259048,0.3235393464565277
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.2466815710067749,0.7007467746734619,0.011939865536987782,0.011764398775994778
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.7438426613807678,0.06966325640678406,0.17236725986003876,0.011602463200688362
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,True,0.5452567934989929,0.03704331815242767,0.032374586910009384,0.32924532890319824
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.3461974859237671,0.3453355133533478,0.21195712685585022,0.08921442925930023
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.4137793183326721,0.17581847310066223,0.15258164703845978,0.21306076645851135
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.31017279624938965,0.6161443591117859,0.03545168787240982,0.03558053448796272
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,False,0.087770015001297,0.5586063861846924,0.30487966537475586,0.044217538088560104
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.19585458934307098,0.47372522950172424,0.23806728422641754,0.08699552714824677
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.10245382785797119,0.20976901054382324,0.4919721484184265,0.1611720472574234
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.8895000219345093,0.08127675950527191,0.012167616747319698,0.0135963698849082
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.03566243126988411,0.9342302083969116,0.007877855561673641,0.003274708753451705
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.905479371547699,0.04133283346891403,0.028988024219870567,0.0013557904167100787
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.36020392179489136,0.19953641295433044,0.3288331627845764,0.09532900154590607
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.5119986534118652,0.2637011408805847,0.056747689843177795,0.15966637432575226
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.17887189984321594,0.5188907384872437,0.20975519716739655,0.08694372326135635
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,True,0.001509426860138774,0.0008604557369835675,0.007168526295572519,0.9879706501960754
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.6554499864578247,0.24712078273296356,0.023752037435770035,0.06214236468076706
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,True,0.5355219841003418,0.3177199065685272,0.10174906998872757,0.042477987706661224
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,True,0.4995006024837494,0.3815869987010956,0.07676251232624054,0.03366778790950775
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,False,0.18439970910549164,0.3826082944869995,0.3310965299606323,0.08933107554912567
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,True,0.014604657888412476,0.011707919649779797,0.03221377730369568,0.9334999322891235
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,False,0.17209143936634064,0.17552146315574646,0.4978681206703186,0.10638708621263504
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,True,0.252891480922699,0.2762807607650757,0.4091147780418396,0.03805534541606903
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,False,0.5926486849784851,0.14539362490177155,0.10459833592176437,0.13359487056732178
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,False,0.3159916400909424,0.31464025378227234,0.23212379217147827,0.10393799096345901
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,True,0.1897789090871811,0.18058161437511444,0.4571545720100403,0.10827598720788956
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,True,0.186690554022789,0.14886397123336792,0.23122870922088623,0.40865179896354675
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,False,0.11591152101755142,0.021718565374612808,0.04336637258529663,0.8048464059829712
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,True,0.1629236489534378,0.1290736198425293,0.5174839496612549,0.15390536189079285
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,True,0.09956464171409607,0.848021924495697,0.03706328943371773,0.011960884556174278
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,True,0.7238234281539917,0.12923219799995422,0.12149948626756668,0.008263728581368923
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,True,0.9846956133842468,0.003724051406607032,0.002168436301872134,0.0009851487120613456
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.808496356010437,0.1373468041419983,0.03344294801354408,0.0018264498794451356
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.8592444062232971,0.0776565819978714,0.04691872000694275,0.00857426319271326
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,False,0.12672023475170135,0.11660884320735931,0.6876744031906128,0.05745896324515343
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.006240187678486109,0.9760761260986328,0.007670425809919834,0.006693199742585421
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.12806613743305206,0.526641309261322,0.204913929104805,0.11931774020195007
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.5269320607185364,0.3801014721393585,0.04512746259570122,0.041231755167245865
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,True,0.030618473887443542,0.05395163223147392,0.8498803377151489,0.04016532003879547
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.163888618350029,0.2386166900396347,0.4773191809654236,0.10363291949033737
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,True,0.024629084393382072,0.0046984185464680195,0.01478184200823307,0.9500113725662231
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.6369093060493469,0.28027763962745667,0.062145765870809555,0.004905070643872023
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,True,0.026249466463923454,0.022632857784628868,0.9200670123100281,0.025135284289717674
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.6861163973808289,0.19332069158554077,0.05051581561565399,0.06360792368650436
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,False,0.15151391923427582,0.7074752449989319,0.02755691669881344,0.00515402527526021
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,False,0.18676456809043884,0.1297377198934555,0.6006532907485962,0.0567169189453125
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.050524767488241196,0.8095134496688843,0.11397600173950195,0.024310486391186714
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.6269952058792114,0.10459151864051819,0.1999247670173645,0.05667085200548172
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.9649390578269958,0.016763895750045776,0.004797681700438261,0.009179149754345417
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.5487486124038696,0.1524878293275833,0.17616339027881622,0.1184782162308693
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.421980082988739,0.26270896196365356,0.2515815496444702,0.05772039666771889
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,True,0.3064895272254944,0.1498015969991684,0.46495434641838074,0.07061538100242615
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,True,0.36818620562553406,0.1678156554698944,0.22869707643985748,0.009021030738949776
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.5188814997673035,0.3247566819190979,0.060589008033275604,0.06338250637054443
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.25378796458244324,0.062274012714624405,0.15030589699745178,0.473543643951416
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,True,0.011077498085796833,0.00799788348376751,0.8439598083496094,0.12250202149152756
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,True,0.1829572468996048,0.6833917498588562,0.09859040379524231,0.0318777859210968
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.270484060049057,0.11410758644342422,0.08528269827365875,0.49793776869773865
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,False,0.9857704639434814,0.0010905662784352899,0.0005406845593824983,0.0010648848256096244
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.21020153164863586,0.6787045001983643,0.07101087272167206,0.03405657783150673
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,True,0.04465499147772789,0.8276515603065491,0.05846590921282768,0.06500225514173508
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.20392146706581116,0.45036956667900085,0.20816607773303986,0.010354573838412762
A capacitor can store,charge,energy,Both of these,Neither of these,C,False,0.8994225859642029,0.07128939032554626,0.009367983788251877,0.000598981452640146
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.4218835234642029,0.15173952281475067,0.21512018144130707,0.20621837675571442
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,True,0.8691085577011108,0.051451425999403,0.04302815720438957,0.02986431121826172
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.1534249633550644,0.17302721738815308,0.26975753903388977,0.23462167382240295
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.009603985585272312,0.8929039835929871,0.01854793354868889,0.0006296822684817016
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.008491423912346363,0.06013279780745506,0.9056098461151123,0.022111788392066956
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,True,0.07597824931144714,0.3149583339691162,0.5239854454994202,0.0789334699511528
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,False,0.09497315436601639,0.7468222975730896,0.08506489545106888,0.06980530172586441
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,False,0.27861443161964417,0.5284138321876526,0.11837127804756165,0.07022997736930847
