0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
 What can murtis be translated as?,Offerings,Prayers,Apparitions,Idols,D,False,0.22776588797569275,0.2747381031513214,0.2704786956310272,0.2242347002029419
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,Daoism,Yin-Yang School,Mengzi,Humanistic Buddhism,B,False,0.7998824715614319,0.10825231671333313,0.030533967539668083,0.05885576456785202
 When was the first Buddhist temple constructed in Japan?,325 CE,119 CE,451 CE,596 CE,D,False,0.30752453207969666,0.3377496302127838,0.18652305006980896,0.15954163670539856
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,Akitu,Wag and Thoth,Bast,Nehebkau,A,True,0.8702006340026855,0.08221590518951416,0.018060438334941864,0.02587038464844227
Which of the following terms denote the Japanese art of flower arranging?,Zazen,Tariki,Kami,Ikebana,D,True,0.006156535819172859,0.0051039475947618484,0.01387396827340126,0.9726402759552002
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,Harmony and balance,Devotion and piety,Love and passion,Goodwill and love,A,True,0.667940616607666,0.22026345133781433,0.040744636207818985,0.06717655062675476
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",Shabad,Khalse,Nam,Guru,A,True,0.8751471042633057,0.07296770811080933,0.019334517419338226,0.030417468398809433
What is the mi'raj?,Muhammad's miraculous ascent to heaven,Muhammad's migration to Mecca,Muhammad's first community in Mecca,Muhammad's revelations of the Qur'an,A,True,0.9023289680480957,0.022945096716284752,0.008310162462294102,0.06435111165046692
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",Laws of Dharma,Laws of Karma,Laws of Vishnu,Laws of Manu,D,True,0.043463416397571564,0.025550825521349907,0.1338767409324646,0.7948628664016724
"What does the term ""Qur'an"" literally mean?",The Holy Book,The Narrative,The Recitation,The Pillars,C,True,0.30727413296699524,0.2841821014881134,0.3121129870414734,0.09371330589056015
 Mani referred to God by which of the following names?,Mother of Light,Father of Goodness,Ineffable Lover,Eternal Spirit,B,False,0.35634440183639526,0.19073742628097534,0.2094840556383133,0.2336963713169098
" Which tradition is known to promote ""gradual enlightenment""?",Bushido,Shinto,Nichiren,Soto Zen,D,False,0.10063882917165756,0.2232769876718521,0.4171363115310669,0.2569902241230011
What is the communal meal offered at the place of worship called in Sikhism?,Sangat,Langar,Gurdwara,Panth,B,True,0.04522772133350372,0.8668233156204224,0.07227369397878647,0.01423153281211853
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,Buddhism,Daoism,Confucianism,Shamanism,B,True,0.20804882049560547,0.6509271264076233,0.05343135446310043,0.08538305759429932
"What does the word ""Islam"" mean in Arabic?",Worship,Submission,Obedience,Faith,B,True,0.0790475457906723,0.8109241127967834,0.0518406443297863,0.05518408119678497
What does the term anatman mean?,Suffering,Soul,Impermanence,No-self,D,True,0.004136956762522459,0.010899429209530354,0.07565703243017197,0.9074018597602844
 What genre of Sikh literature is denoted by the term janam-sakhis?,Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C,False,0.6937084197998047,0.15002496540546417,0.10311055183410645,0.051043424755334854
Pure Land Buddhism belongs to which school?,Vajrayana,Theravada,Mahayana,Mahavira,C,True,0.058502085506916046,0.14707420766353607,0.7586665749549866,0.03230791911482811
 Which Jaina group only allows women to lead a life of semi-renunciation?,Svetambara,Jina,Agama,Digambara,D,False,0.29045429825782776,0.28595125675201416,0.20920640230178833,0.2125009000301361
What is the most important prayer in Judaism?,The Shema,The Sefirot,Deuteronomy,The Decalogue,A,True,0.941197395324707,0.02248341403901577,0.013425459153950214,0.02079375833272934
