0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.29421404004096985,0.19368407130241394,0.20206211507320404,0.30220162868499756
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.18672488629817963,0.17420315742492676,0.44084057211875916,0.1932719647884369
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.4357631206512451,0.15866655111312866,0.2067161202430725,0.1956062912940979
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.25151771306991577,0.2532047927379608,0.2887296974658966,0.20317617058753967
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.3102709650993347,0.14857548475265503,0.21500946581363678,0.319265753030777
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.301522821187973,0.1735752373933792,0.3471837341785431,0.17347659170627594
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.32367828488349915,0.1775495707988739,0.28000110387802124,0.21500101685523987
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.05708915367722511,0.042985204607248306,0.764876663684845,0.13115482032299042
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.7901499271392822,0.08708354830741882,0.0819176658987999,0.036346305161714554
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.2840712368488312,0.25093021988868713,0.28394612669944763,0.17188696563243866
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.2568899989128113,0.2836909592151642,0.2749170958995819,0.1821984201669693
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.10338660329580307,0.06770192086696625,0.6692647337913513,0.14553147554397583
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.17970019578933716,0.18288306891918182,0.44291168451309204,0.1918112188577652
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.33467355370521545,0.1784326434135437,0.28516390919685364,0.19512996077537537
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.28806135058403015,0.12521976232528687,0.34039750695228577,0.24087850749492645
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.17948366701602936,0.23535780608654022,0.37618035078048706,0.2071770876646042
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.1595950871706009,0.11636075377464294,0.5682644844055176,0.15107393264770508
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.3332056701183319,0.13371214270591736,0.23327216506004333,0.2926909923553467
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.20269937813282013,0.5879738926887512,0.1405477672815323,0.06432978808879852
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.3316466510295868,0.19994699954986572,0.29446449875831604,0.17069070041179657
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.26025116443634033,0.2670307755470276,0.303090363740921,0.1679234355688095
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.21910478174686432,0.17177212238311768,0.43295997381210327,0.17294804751873016
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.2287483811378479,0.22358287870883942,0.362897664308548,0.17745521664619446
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.26496773958206177,0.226661816239357,0.32944586873054504,0.17542050778865814
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.2908746004104614,0.17074929177761078,0.3888859152793884,0.13533969223499298
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.3840663433074951,0.17875806987285614,0.1946910321712494,0.22142747044563293
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.42870810627937317,0.12534171342849731,0.2983842194080353,0.14091850817203522
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.7037451863288879,0.08054958283901215,0.13149991631507874,0.08136317133903503
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.42062708735466003,0.12046479433774948,0.2733191251754761,0.18297144770622253
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.48201870918273926,0.10394762456417084,0.19119150936603546,0.21879693865776062
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.31543293595314026,0.26747018098831177,0.22664685547351837,0.18748369812965393
