0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,True,0.044577550143003464,0.2730705738067627,0.6153740286827087,0.06286441534757614
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.3060132563114166,0.257688969373703,0.3633997142314911,0.06414385885000229
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,True,0.23801816999912262,0.28710469603538513,0.35176801681518555,0.12156778573989868
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.5915851593017578,0.2504929304122925,0.11832448095083237,0.02945329062640667
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.2958526015281677,0.4107506275177002,0.17122633755207062,0.11585753411054611
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.7106078863143921,0.12348512560129166,0.14895150065422058,0.014072826132178307
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.12219266593456268,0.23188094794750214,0.4986223578453064,0.14285770058631897
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.13826005160808563,0.1591363400220871,0.53835129737854,0.16164237260818481
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.11745669692754745,0.42297783493995667,0.38512569665908813,0.0723629742860794
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.10136805474758148,0.44725683331489563,0.3650403916835785,0.08403707295656204
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.20932303369045258,0.32420584559440613,0.4162885546684265,0.048947762697935104
