0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.006215545814484358,0.01914522796869278,0.951751172542572,0.021026920527219772
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.1836787760257721,0.18083110451698303,0.49154984951019287,0.13229885697364807
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.1968354433774948,0.4167006313800812,0.20953023433685303,0.17370666563510895
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.381016343832016,0.26599225401878357,0.14016808569431305,0.1799793839454651
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.007294550538063049,0.9857251644134521,0.0031867530196905136,0.001602400210686028
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.0037086419761180878,0.009323524311184883,0.981214165687561,0.003026905469596386
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0009078385774046183,0.001496772631071508,0.9955658316612244,0.0013842885382473469
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.2188270539045334,0.2222730666399002,0.2854042649269104,0.2558347284793854
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.7687271237373352,0.1715262085199356,0.0382726676762104,0.018363427370786667
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.36386579275131226,0.32616719603538513,0.1402827650308609,0.15407048165798187
