0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,True,0.22090040147304535,0.6195304989814758,0.06428568065166473,0.09353511035442352
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,True,0.0029293044935911894,0.004196034744381905,0.011585623025894165,0.9797182083129883
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,True,0.0023671486414968967,0.022458883002400398,0.9700146317481995,0.004422415979206562
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,True,0.3022004961967468,0.23906029760837555,0.29290276765823364,0.1111733689904213
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,0.09123753756284714,0.6534175872802734,0.10501375794410706,0.14579716324806213
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,True,0.226765438914299,0.18799513578414917,0.15343716740608215,0.43032515048980713
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,False,0.6188472509384155,0.18009480834007263,0.10923302173614502,0.08915340155363083
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,True,0.08342329412698746,0.13970771431922913,0.7094943523406982,0.04396098479628563
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,True,0.585601806640625,0.2518641948699951,0.09863143414258957,0.06172197312116623
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,True,0.03035416267812252,0.023639846593141556,0.01389714889228344,0.9296504855155945
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,True,0.5520057082176208,0.16317257285118103,0.05134452506899834,0.23011019825935364
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,True,0.0004738532879855484,0.9861095547676086,0.004711552523076534,0.007072877138853073
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.07949361950159073,0.8283424973487854,0.05725710466504097,0.031130149960517883
