0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.003508149879053235,0.0030006796587258577,0.988030731678009,0.0042982748709619045
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.04069581255316734,0.031202565878629684,0.8433442711830139,0.08093329519033432
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.19337408244609833,0.3906264007091522,0.2444477677345276,0.1654016226530075
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.6353917717933655,0.11938657611608505,0.05215613171458244,0.07018374651670456
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.00046501599717885256,0.9984374642372131,0.0001463237713323906,8.337276813108474e-05
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.0006755620706826448,0.00039714243030175567,0.996914267539978,0.0005961814313195646
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,5.305148079060018e-05,2.4288736312882975e-05,0.9995023012161255,0.00014420885418076068
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.24510851502418518,0.35110175609588623,0.3098461925983429,0.08877242356538773
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.9966323971748352,0.0017793657025322318,0.000880849955137819,0.00010196577932219952
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.9583577513694763,0.027186518535017967,0.006662342697381973,0.0029563966672867537
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.42785683274269104,0.1410922110080719,0.0666472390294075,0.36029160022735596
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.0238178838044405,0.614271342754364,0.28123393654823303,0.07932566851377487
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.6085066199302673,0.11081728339195251,0.22738231718540192,0.05153482034802437
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.2446971833705902,0.5778974294662476,0.03525196760892868,0.13303954899311066
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.45407676696777344,0.12221311032772064,0.32198864221572876,0.08531849831342697
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.002507654717192054,0.9959756731987,0.00036126188933849335,0.000122913159430027
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.8530139923095703,0.06475759297609329,0.03058932162821293,0.0496513657271862
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.06036609038710594,0.5465099811553955,0.34738287329673767,0.038371022790670395
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.6304031014442444,0.19528977572917938,0.10291048139333725,0.05338925123214722
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.9988439083099365,0.00033507481566630304,0.0003050890809390694,0.0001332835527136922
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.035588338971138,0.8488588929176331,0.06344307214021683,0.04940950870513916
