0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.10764840990304947,0.5911060571670532,0.1831161230802536,0.11639568209648132
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.3367242217063904,0.2663708031177521,0.2425333708524704,0.14942046999931335
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.3451232612133026,0.40348997712135315,0.1192714050412178,0.1309940069913864
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.507226824760437,0.23588240146636963,0.16211944818496704,0.054303206503391266
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.39725127816200256,0.34513789415359497,0.11381439864635468,0.13944831490516663
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.764288067817688,0.14137908816337585,0.06472805887460709,0.02656434290111065
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.28043419122695923,0.37736546993255615,0.16485877335071564,0.17549125850200653
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.2365444004535675,0.4283266067504883,0.15757256746292114,0.1757848858833313
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.22331377863883972,0.5032453536987305,0.15835316479206085,0.1140575185418129
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.17884238064289093,0.5956360697746277,0.12881533801555634,0.09572742879390717
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.1910269558429718,0.5192650556564331,0.17667104303836823,0.11229894310235977
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.45166918635368347,0.2697039842605591,0.1106863021850586,0.16615982353687286
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.2670316696166992,0.30735155940055847,0.19844107329845428,0.2248631864786148
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.31592944264411926,0.2831973135471344,0.17722035944461823,0.22055429220199585
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.17499248683452606,0.47567886114120483,0.20141510665416718,0.14507384598255157
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.15783198177814484,0.5094878673553467,0.16031746566295624,0.17065706849098206
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.13639456033706665,0.660949170589447,0.13014858961105347,0.07187488675117493
