0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,True,0.2206123173236847,0.2856651544570923,0.285518079996109,0.20441323518753052
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,False,0.045971859246492386,0.042879510670900345,0.5836929678916931,0.3238198757171631
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,True,0.013003839179873466,0.06178702786564827,0.8944485187530518,0.028891080990433693
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,True,0.3815920352935791,0.28720471262931824,0.22272419929504395,0.072325199842453
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,0.06027479097247124,0.5769625902175903,0.11442073434591293,0.2411063015460968
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,True,0.33212122321128845,0.1257110834121704,0.1812913715839386,0.3572258949279785
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,False,0.4974766671657562,0.152337446808815,0.1277228593826294,0.21531303226947784
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,True,0.04843437299132347,0.06255237758159637,0.8286120891571045,0.04333298280835152
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,True,0.6342430114746094,0.14691951870918274,0.15195898711681366,0.06276407837867737
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,True,0.1431991308927536,0.06445522606372833,0.02973700501024723,0.7595120072364807
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,True,0.3800048828125,0.2603769600391388,0.14998522400856018,0.20559754967689514
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,True,0.000552099198102951,0.9928584098815918,0.0024632897693663836,0.0033083646558225155
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.2031109780073166,0.635679304599762,0.08733146637678146,0.06111061945557594
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,False,0.02272612974047661,0.863242506980896,0.08463774621486664,0.027818411588668823
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,False,0.1336441934108734,0.1632973551750183,0.5452227592468262,0.15157105028629303
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,False,0.325703889131546,0.5372059345245361,0.0906561017036438,0.025902364403009415
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.38897645473480225,0.13009634613990784,0.07572202384471893,0.40162408351898193
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.15150083601474762,0.2458791583776474,0.3961593508720398,0.20247431099414825
In which urban US setting below would you expect to find planned communities?,Ghettos,Suburbs,CBDs,Transition zones,B,True,0.025670798495411873,0.896720826625824,0.05404551327228546,0.02046697586774826
The latitude and longitude coordinates of a place are an example of,a formal region.,a functional region.,an absolute location.,a relative location.,C,True,0.13878563046455383,0.24641373753547668,0.5323810577392578,0.08082626760005951
The voluntary association of three or more countries willing to give up some measure of sovereignty is called,nationalism.,devolution.,supranationalism.,complementarity.,C,True,0.0036897221580147743,0.0038899641949683428,0.9729127883911133,0.018498152494430542
The key factor Thomas Malthus failed to recognize in his population theory was,population is limited by their means of subsistence.,all populations have the potential to increase more than the actual rate of increase.,wars and famine inhibit population's reproductive capacity.,technology's ability to raise the Earth's carrying capacity.,D,True,0.2443920075893402,0.2433946579694748,0.23293064534664154,0.2726317048072815
Which pair of religions are both universalizing religions?,Islam and Judaism,Judaism and Buddhism,Hinduism and Buddhism,Christianity and Buddhism,D,False,0.27593541145324707,0.454704612493515,0.2199852466583252,0.04638291895389557
Which urban model theorizes that high-rent residential areas grow outward from the center of the city along major highways with lower-rent inhabitants taking over sequentially?,Concentric zone model,Central place model,Urban realms model,Sector model,D,False,0.7966536283493042,0.16986922919750214,0.02393958531320095,0.00645408732816577
"When a country combines its religion with its government, it is called a",dictatorship.,theocracy.,democracy.,autocracy.,B,True,0.0007862802594900131,0.9951099753379822,0.0018629479454830289,0.0016378645086660981
What is the chief religion practiced in Europe?,Christianity,Islam,Hinduism,Animism,A,True,0.9812189936637878,0.00766748795285821,0.007084034848958254,0.002187978010624647
Which group enacted the first effective settlement in the eastern United States?,French,"British (English, Scotch-Irish, Welsh, Scottish)",Russian,Chinese,B,True,0.022417651489377022,0.9662837982177734,0.004251240752637386,0.0025446107611060143
"A population pyramid, or age-sex structure, displays all the following information about a country's population EXCEPT",future social spending needs of the population.,"the impact of ""baby booms"" on the population.",the impact of wars on the population.,a quick visual depiction of the country's demographics.,B,False,0.35488414764404297,0.1734764128923416,0.24741612374782562,0.21481908857822418
The Rhine River is an example of which type of boundary?,Geometric,Artificial,Natural,Relict,C,True,0.13208633661270142,0.2628023326396942,0.5206757187843323,0.06883031129837036
Which type of economic activity is most closely tied to the physical environment?,Primary,Secondary,Tertiary,Quaternary,A,True,0.7613269090652466,0.0984162837266922,0.09517624974250793,0.027294939383864403
The majority of workers in periphery countries are probably employed in which type of activities?,Primary,Secondary,Tertiary,Quaternary,A,False,0.1548864245414734,0.12079741805791855,0.6607097387313843,0.041333600878715515
All of the following are non-basic jobs in the city EXCEPT,city firefighter.,social worker.,dry cleaner.,garment factory worker.,D,False,0.24140115082263947,0.14562426507472992,0.5162050724029541,0.09310535341501236
Transnational corporations distribute their operations,manufacturing goods where production costs are the highest.,conducting accounting and research services where economical.,based on comparative advantage.,with headquarters located in LDCs.,C,True,0.019629232585430145,0.007864180952310562,0.9536164402961731,0.016649678349494934
Which of the following is LEAST associated with the development of alluvial landscapes?,A deep cover of loose materials,A predominance of gentle slopes,Frequent flooding,Deep dissection and erosion,D,False,0.22487711906433105,0.10108938813209534,0.40961235761642456,0.2607789635658264
Which of the following is LEAST self-sufficient in the natural resources needed for modern industry?,United States,Japan,France,United Kingdom,B,False,0.4541211724281311,0.29643771052360535,0.14543849229812622,0.10183090716600418
One of the effects of the east–west orientation of the Alpine mountain system and the northern plains of western and central Europe is that it,limits the marine climate of Europe to coastal areas,provides a corridor for communication between southern and northern Europe,enables marine-like climatic conditions to extend eastward into Germany and Poland,effectively prevents population movement between parts of the Mediterranean region,C,True,0.20366254448890686,0.2796573042869568,0.4772171378135681,0.03718355670571327
The largest Hindu temple complex ever constructed is found in,Calcutta.,Bombay.,Cambodia.,Bali.,C,True,0.0346110537648201,0.19888359308242798,0.6586983799934387,0.10570569336414337
Which term describes the forces that unify and strengthen a country?,Diffusion,Centrifugal,Centripetal,Ethnocentric,C,True,0.004615465644747019,0.004188265651464462,0.9719445109367371,0.014419734477996826
Which one of the following statements best describes an application of the S-curve?,Graph of the Bantu migration,Graph of the growth of human populations since their first appearance on Earth,The chart showing how cities associate with one another based on their population sizes,A model showing the decrease in population growth for several countries after they industrialize,D,True,0.2199520766735077,0.15155525505542755,0.143178790807724,0.4806569218635559
Which of the following items is NOT a challenge to the state?,Transnational corporations,EU,World Trade Organization,Good transportation network,D,False,0.5918725728988647,0.11183919757604599,0.09308119863271713,0.19813378155231476
"National sports teams, flags, national anthems, and national holidays all promote",nationalism.,sectarianism.,political unrest.,functional disputes.,A,True,0.9915556311607361,0.0030324109829962254,0.0012999695027247071,0.0027411491610109806
