0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.0005827532149851322,0.0006451572990044951,0.9929880499839783,0.004273790866136551
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.055381130427122116,0.02095593512058258,0.8446309566497803,0.06969468295574188
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.16745761036872864,0.21632714569568634,0.4615282416343689,0.1478293091058731
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.6563770174980164,0.09137969464063644,0.0923067182302475,0.08035288006067276
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.0005930718034505844,0.9963899254798889,0.0004649536858778447,0.0006769165629521012
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.00034105617669411004,0.0002683933998923749,0.9971373081207275,0.0004085864929948002
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,4.021198401460424e-05,4.012479621451348e-05,0.9992316961288452,0.0001986762072192505
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.07747925072908401,0.1096775010228157,0.6049742698669434,0.2020774632692337
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.9506075978279114,0.013413170352578163,0.03100837767124176,0.003119373694062233
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.1401381939649582,0.15093623101711273,0.40642476081848145,0.28455179929733276
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.2151254117488861,0.11528107523918152,0.16332635283470154,0.49069714546203613
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.039619870483875275,0.2963235378265381,0.5620970129966736,0.09789920598268509
