0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.19101399183273315,0.15348407626152039,0.41721290349960327,0.1659558266401291
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,False,0.6479117274284363,0.2743431031703949,0.017538167536258698,0.03891012445092201
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.19880571961402893,0.5843225121498108,0.08821950107812881,0.10808879882097244
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.7534874081611633,0.16812577843666077,0.05127546191215515,0.01857074163854122
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.4553566873073578,0.3834487795829773,0.11694526672363281,0.042354766279459
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.44438567757606506,0.23054425418376923,0.26535481214523315,0.05829071253538132
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.9973716735839844,0.0011143246665596962,0.00023725339269731194,0.0005430784076452255
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.8370102643966675,0.14774107933044434,0.005818755365908146,0.000313239055685699
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.005765218287706375,0.9848290085792542,0.00550121022388339,0.002898933831602335
A wave transfers,amplitude,wavelength,frequency,energy,D,True,0.0798867866396904,0.027180111035704613,0.06727141886949539,0.6090257167816162
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.1135716363787651,0.7761213183403015,0.06174783408641815,0.011970363557338715
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.0007375630084425211,0.0019432196859270334,0.9910065531730652,0.004661541432142258
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.2929591238498688,0.5826188325881958,0.06744302064180374,0.04635286703705788
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,False,0.3800095021724701,0.4803769886493683,0.10388880968093872,0.02840161882340908
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.271452933549881,0.23584240674972534,0.21140775084495544,0.27572768926620483
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,True,0.3836098313331604,0.24005691707134247,0.33853447437286377,0.02778860367834568
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.14022435247898102,0.16914284229278564,0.5375348925590515,0.1492680460214615
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.3261254131793976,0.22414249181747437,0.12573254108428955,0.257986456155777
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.4468255937099457,0.3534681499004364,0.06960200518369675,0.0839560404419899
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.93367999792099,0.05267462506890297,0.010535587556660175,0.0011279296595603228
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.3171006441116333,0.18641383945941925,0.09373477101325989,0.33755189180374146
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.52359938621521,0.3655312657356262,0.03913341835141182,0.06253502517938614
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.36385220289230347,0.2661999464035034,0.1424865573644638,0.20410257577896118
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.21036651730537415,0.7116607427597046,0.038913894444704056,0.036556221544742584
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.1099412813782692,0.2721073031425476,0.5327602028846741,0.08170142769813538
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.17944228649139404,0.5192334055900574,0.2530541718006134,0.045370109379291534
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,False,0.14919395744800568,0.3158436119556427,0.35789769887924194,0.14460374414920807
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.6897168755531311,0.20071905851364136,0.061215851455926895,0.04340854287147522
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,False,0.019099347293376923,0.9347500801086426,0.008214526809751987,0.0013835520949214697
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,False,0.9515190124511719,0.026992518454790115,0.004839491564780474,0.000686385843437165
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,False,0.3503696918487549,0.29046669602394104,0.25236183404922485,0.09139940142631531
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,True,0.40895479917526245,0.10502827167510986,0.06370287388563156,0.4153948724269867
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.1539645493030548,0.5902064442634583,0.21375860273838043,0.03954136371612549
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,True,0.0038994713686406612,0.0016511401627212763,0.006530385464429855,0.984457790851593
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,False,0.8713204264640808,0.08763100206851959,0.00827931147068739,0.02631159871816635
