0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.06459753960371017,0.4223318099975586,0.39439305663108826,0.11146987229585648
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,False,0.23442530632019043,0.20466642081737518,0.4700578451156616,0.07994423806667328
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.3177397847175598,0.27190375328063965,0.28766894340515137,0.11922129988670349
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.6883909106254578,0.1673520803451538,0.10231803357601166,0.034382179379463196
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.3328995406627655,0.3288310170173645,0.20404814183712006,0.12694019079208374
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.8425086140632629,0.07938338071107864,0.0594184435904026,0.01484802458435297
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.14058388769626617,0.22678565979003906,0.3105248212814331,0.3153066039085388
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.12113974988460541,0.24539047479629517,0.48914575576782227,0.1407260000705719
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.09039467573165894,0.4199801981449127,0.4026956558227539,0.08381055295467377
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.0818106085062027,0.4811161756515503,0.35424572229385376,0.07998180389404297
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.13901111483573914,0.3131217956542969,0.4621448218822479,0.08365324884653091
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.4028773307800293,0.1818770170211792,0.20211902260780334,0.2092720866203308
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.15342488884925842,0.158564954996109,0.4109051525592804,0.27153682708740234
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.27512288093566895,0.13841991126537323,0.18411889672279358,0.39074811339378357
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.13035568594932556,0.3121284544467926,0.4029131233692169,0.14624367654323578
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.10485979914665222,0.3920494616031647,0.3322226405143738,0.16614672541618347
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.08100885152816772,0.48443901538848877,0.38297581672668457,0.04990258812904358
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.22921401262283325,0.4650244116783142,0.21311049163341522,0.0884830504655838
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.2789768874645233,0.4087813198566437,0.23658719658851624,0.06563150882720947
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.6607573628425598,0.2233317643404007,0.05606210604310036,0.05595068633556366
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.3005009889602661,0.32135850191116333,0.30595889687538147,0.06858567148447037
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.10574755817651749,0.3331160545349121,0.44601109623908997,0.10854329913854599
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.15838277339935303,0.2434101551771164,0.41264259815216064,0.17948727309703827
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.17215512692928314,0.4133293628692627,0.33595430850982666,0.07526640594005585
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,False,0.28605732321739197,0.25771358609199524,0.29642683267593384,0.14997273683547974
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.17898541688919067,0.30311495065689087,0.4062172770500183,0.10816207528114319
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.06464264541864395,0.4065035879611969,0.3960944712162018,0.12651492655277252
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,False,0.16113829612731934,0.5023295283317566,0.2681524157524109,0.0657796561717987
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,10%,30%,50%,70%,D,False,0.12896287441253662,0.3236158490180969,0.3938184678554535,0.14768868684768677
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",26%,41%,56%,71%,C,True,0.2127050906419754,0.3439556360244751,0.36878398060798645,0.07238361984491348
"In 2018, about how many chickens were killed for meat production?",690 million,6.9 billion,69 billion,690 billion,C,False,0.7252892255783081,0.140895277261734,0.08805304020643234,0.040837787091732025
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A,False,0.23837372660636902,0.2895677387714386,0.33609673380851746,0.13171757757663727
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,31%,51%,71%,91%,B,False,0.07249897718429565,0.09585447609424591,0.5099502801895142,0.31758251786231995
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,C,False,0.1986551582813263,0.3641582131385803,0.33240818977355957,0.10041023045778275
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,False,0.10007283836603165,0.333310604095459,0.39873114228248596,0.14204566180706024
"As of 2019, about what percentage of Turks say God plays an important role in their life?",59%,69%,79%,89%,D,False,0.32656458020210266,0.31392714381217957,0.25771766901016235,0.09833940118551254
Which of the following was responsible for the most death in the 20th century?,Earthquakes,Volcanic activity,Wildfires,Floods,D,True,0.27203795313835144,0.19172267615795135,0.15241533517837524,0.2987547218799591
"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",15%,35%,55%,75%,B,False,0.3246932327747345,0.3191920220851898,0.2367902249097824,0.11575748026371002
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D,False,0.21505001187324524,0.36956509947776794,0.3166784644126892,0.09417085349559784
"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",36%,51%,66%,81%,C,True,0.0657101422548294,0.3112103343009949,0.5378371477127075,0.08283882588148117
"As of 2015, what percentage of the global population over 15 years old was literate?",81%,86%,91%,96%,B,False,0.3592679798603058,0.3363231420516968,0.21466132998466492,0.08566401898860931
