0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.2756020724773407,0.3272855579853058,0.24704809486865997,0.13858142495155334
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,True,0.3714279532432556,0.42751094698905945,0.09689277410507202,0.08685412257909775
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,False,0.40698811411857605,0.29314255714416504,0.12412435561418533,0.15690790116786957
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.42094090580940247,0.42094090580940247,0.09843215346336365,0.05351662635803223
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,True,0.6874722838401794,0.21296897530555725,0.06007065623998642,0.03586982935667038
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,False,0.25399914383888245,0.3995967209339142,0.25399914383888245,0.08916208893060684
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,False,0.8154532313346863,0.0973920002579689,0.021731091663241386,0.05636616423726082
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.6376264691352844,0.2965238690376282,0.044768400490283966,0.006058744620531797
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.08906571567058563,0.8718562126159668,0.020186206325888634,0.016734953969717026
A wave transfers,amplitude,wavelength,frequency,energy,D,True,0.31912511587142944,0.1790129393339157,0.13512606918811798,0.32415059208869934
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.1616361290216446,0.7473978400230408,0.054993920028209686,0.022569458931684494
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.0029582588467746973,0.012071543373167515,0.9740628600120544,0.009255573153495789
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,True,0.3151254653930664,0.4585048258304596,0.1177537813782692,0.10072014480829239
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,False,0.4081262946128845,0.42771267890930176,0.08826349675655365,0.06559186428785324
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.3431168794631958,0.3274044394493103,0.15225718915462494,0.17253001034259796
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,True,0.4208304286003113,0.30311280488967896,0.2149391621351242,0.04871465638279915
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.2508741617202759,0.31221795082092285,0.22488215565681458,0.20798200368881226
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,False,0.2464759200811386,0.2665040194988251,0.1426493227481842,0.3214651942253113
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.3933068513870239,0.4526934027671814,0.07624600827693939,0.0622301809489727
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.39643022418022156,0.32865220308303833,0.24807971715927124,0.023075005039572716
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,True,0.28759974241256714,0.26186254620552063,0.21041245758533478,0.19766423106193542
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,False,0.36263227462768555,0.286865770816803,0.22692950069904327,0.11958344280719757
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.3491602838039398,0.25545111298561096,0.1573788821697235,0.2254348248243332
